Airline,Departure Airport,Arrival Airport,Aircraft Type,Departure Planned Time,Departure Time,Arrival Planned Time,Arrival Time,Distance,Number of Containers,Cargo Weight,Freight Load Factor,Cargo Type,Priority Cargo,Special Handling,Temperature-Controlled Freight,Dangerous Goods,Peak Freight Season,Departure Weather Conditions,Delay
QR,LHR,BKK,A380,12/04/2024 19:28,12/04/2024 19:43,12/04/2024 21:28,12/04/2024 21:43,2961,10,1902,80.34,Perishables,No,Yes,No,Yes,Yes,Clear,Yes
QR,ABZ,MCT,A350,02/08/2024 10:10,02/08/2024 11:10,02/08/2024 15:10,02/08/2024 16:10,2936,10,1447,63.79,Pharmaceuticals,Yes,No,No,Yes,Yes,Snow,Yes
BA,BHX,SCL,B787,14/09/2024 23:43,15/09/2024 01:47,15/09/2024 00:43,15/09/2024 02:47,2793,13,4037,79.36,Electronics,No,No,No,No,No,Rain,Yes
AA,BRS,DEN,B787,09/11/2024 21:43,09/11/2024 22:00,10/11/2024 01:43,10/11/2024 02:00,1945,5,4304,73.62,Perishables,No,Yes,No,No,No,Rain,Yes
GF,ABZ,CAI,A380,06/07/2024 15:14,06/07/2024 15:37,06/07/2024 20:14,06/07/2024 20:37,3437,16,1000,89.12,Electronics,No,Yes,No,No,No,Rain,Yes
IB,NCL,GRU,B777,24/11/2024 06:17,24/11/2024 06:21,24/11/2024 08:17,24/11/2024 08:21,3027,11,3914,52.9,General Cargo,No,Yes,Yes,No,No,Snow,Yes
CX,BRS,JNB,A350,21/09/2024 20:01,21/09/2024 20:49,22/09/2024 00:01,22/09/2024 00:49,4525,19,3418,,Healthcare,Yes,Yes,No,No,Yes,Fog,Yes
CK,ABZ,SIN,A350,20/09/2024 14:34,20/09/2024 14:34,20/09/2024 18:34,20/09/2024 18:34,2509,10,1827,73.71,Healthcare,No,Yes,No,Yes,No,Rain,No
AA,LHR,ATL,A320,02/01/2024 05:53,02/01/2024 05:53,02/01/2024 07:53,02/01/2024 07:53,3194,20,4698,74.82,Perishables,Yes,Yes,No,Yes,No,Clear,No
SQ,BRS,BJS,A350,05/08/2024 11:33,05/08/2024 12:29,05/08/2024 18:33,05/08/2024 19:29,4165,11,,82.06,Electronics,Yes,No,No,No,No,Clear,Yes
CK,ABZ,CAI,A380,02/08/2024 07:20,02/08/2024 10:11,02/08/2024 09:20,02/08/2024 12:11,8637,7,2523,76.28,Pharmaceuticals,No,Yes,Yes,Yes,No,Snow,Yes
AA,MAN,DFW,A380,04/08/2024 12:40,04/08/2024 15:09,04/08/2024 13:40,04/08/2024 16:09,4521,11,2674,75.22,General Cargo,No,Yes,No,Yes,No,Snow,Yes
AA,LHR,DEN,A380,15/05/2024 23:10,15/05/2024 23:47,16/05/2024 00:10,16/05/2024 00:47,3919,,3480,70.19,Healthcare,Yes,Yes,No,No,No,Fog,Yes
TK,ABZ,MEL,A350,17/09/2024 09:38,17/09/2024 10:45,17/09/2024 13:38,17/09/2024 14:45,1711,4,3664,52.92,Healthcare,Yes,No,No,Yes,No,Snow,Yes
DL,LGW,ORD,B777,02/02/2024 15:54,02/02/2024 16:49,02/02/2024 18:54,02/02/2024 19:49,5926,5,1045,77.61,General Cargo,Yes,Yes,No,No,No,Clear,Yes
VS,BHX,ORD,B777,04/02/2024 00:34,04/02/2024 01:08,04/02/2024 02:34,04/02/2024 03:08,2913,1,3260,79.03,Healthcare,No,Yes,Yes,No,No,Snow,Yes
BA,LHR,IAH,A320,11/09/2024 13:38,11/09/2024 13:38,11/09/2024 17:38,11/09/2024 17:38,4357,,4129,,Pharmaceuticals,Yes,No,No,Yes,Yes,Clear,No
QR,NCL,BKK,A380,27/06/2024 06:48,27/06/2024 07:52,27/06/2024 13:48,27/06/2024 14:52,5545,,4088,82.21,Electronics,No,No,Yes,Yes,No,Clear,Yes
LH,NCL,VCP,A350,18/08/2024 12:14,18/08/2024 13:50,18/08/2024 19:14,18/08/2024 20:50,9977,12,3860,71.05,Healthcare,Yes,No,Yes,No,Yes,Clear,Yes
CV,BRS,SIN,B777,05/07/2024 18:21,05/07/2024 19:49,05/07/2024 22:21,05/07/2024 23:49,7060,9,2805,81.86,Pharmaceuticals,No,Yes,No,No,Yes,Clear,Yes
CV,BRS,GRU,B777,05/12/2024 10:57,05/12/2024 10:57,05/12/2024 16:57,05/12/2024 16:57,9926,12,1995,81.14,Perishables,Yes,Yes,Yes,No,Yes,Rain,No
AC,BHX,YYZ,B787,30/04/2024 19:12,30/04/2024 19:12,30/04/2024 22:12,30/04/2024 22:12,5456,19,4726,69.51,Healthcare,Yes,Yes,No,No,Yes,Clear,No
AC,ABZ,YUL,B787,16/05/2024 04:32,16/05/2024 04:32,16/05/2024 05:32,16/05/2024 05:32,5219,16,4783,71.86,General Cargo,Yes,No,No,No,Yes,Clear,No
AC,ABZ,YUL,B777,28/06/2024 16:48,28/06/2024 17:08,28/06/2024 17:48,28/06/2024 18:08,6246,17,1566,,Perishables,Yes,No,No,Yes,No,Clear,Yes
BA,NCL,CAI,A350,10/04/2024 16:55,10/04/2024 17:12,10/04/2024 23:55,11/04/2024 00:12,7404,20,1363,60.2,Perishables,Yes,Yes,Yes,No,Yes,Snow,Yes
TK,MAN,AKL,B787,11/08/2024 00:00,11/08/2024 00:19,11/08/2024 06:00,11/08/2024 06:19,4711,8,2140,56.15,Pharmaceuticals,No,No,No,Yes,Yes,Clear,Yes
BA,MAN,ATL,A320,03/09/2024 03:54,03/09/2024 04:05,03/09/2024 07:54,03/09/2024 08:05,8474,4,1004,89.97,General Cargo,No,Yes,No,Yes,Yes,Fog,Yes
CV,MAN,DEL,A320,07/04/2024 05:21,07/04/2024 05:21,07/04/2024 08:21,07/04/2024 08:21,4861,12,2027,65.04,Perishables,No,Yes,No,Yes,No,Clear,No
TK,BRS,SYD,B787,21/11/2024 15:28,21/11/2024 15:28,21/11/2024 17:28,21/11/2024 18:28,2673,16,2967,52.42,Healthcare,No,Yes,No,No,No,Clear,Yes
UA,BHX,IAH,A320,26/05/2024 19:31,26/05/2024 19:38,26/05/2024 21:31,26/05/2024 21:38,2391,5,4262,53.68,Perishables,Yes,No,No,No,Yes,Clear,Yes
CK,LGW,DEL,B777,25/12/2024 00:10,25/12/2024 01:41,25/12/2024 03:10,25/12/2024 04:41,8640,9,2096,62.65,Perishables,No,No,No,Yes,No,Clear,Yes
AC,NCL,YYZ,A320,19/09/2024 15:25,19/09/2024 15:25,19/09/2024 19:25,19/09/2024 20:25,6366,7,1937,57.4,Healthcare,No,Yes,No,No,Yes,Rain,Yes
CX,BRS,DXB,A320,06/02/2024 22:08,06/02/2024 23:03,07/02/2024 01:08,07/02/2024 02:03,6536,1,4872,77.34,General Cargo,No,Yes,No,No,No,Clear,Yes
EK,BRS,DEL,A350,31/05/2024 21:55,31/05/2024 21:55,01/06/2024 01:55,01/06/2024 02:55,6156,2,3241,90.46,Pharmaceuticals,Yes,Yes,Yes,No,Yes,Fog,Yes
VS,MAN,SCL,A380,13/04/2024 19:34,13/04/2024 22:13,13/04/2024 21:34,14/04/2024 00:13,2843,12,3989,59.66,General Cargo,No,No,No,No,No,Rain,Yes
QT,BHX,GIG,A320,03/12/2024 01:53,03/12/2024 01:53,03/12/2024 02:53,03/12/2024 03:53,5759,19,2160,72.71,Electronics,Yes,No,Yes,No,Yes,Snow,Yes
BA,BRS,DXB,B787,08/03/2024 00:13,08/03/2024 00:53,08/03/2024 07:13,08/03/2024 07:53,6879,7,3146,72.72,Healthcare,Yes,Yes,No,No,No,Clear,Yes
UA,ABZ,SCL,B777,13/07/2024 16:32,13/07/2024 16:48,13/07/2024 23:32,13/07/2024 23:48,8327,2,1092,62.7,Perishables,No,Yes,No,Yes,Yes,Fog,Yes
CX,NCL,XMN,B777,22/01/2024 13:29,22/01/2024 13:35,22/01/2024 16:29,22/01/2024 16:35,2611,14,1627,61.14,Pharmaceuticals,No,Yes,Yes,Yes,Yes,Snow,Yes
